species,d13C,d15N,sample_TAG,zone,season,grp,labels,source,md13C
Spisula_subtruncata,-18.881813366217013,8.474585026334628,SPISSUB_52_D1326,Embouchure,Printemps,Bivalves,Spisula s.,CAPES,18.881813366217013
Spisula_subtruncata,-20.04732940217153,8.235999383521339,SPISSUB_CAPES2_D1400,Embouchure,Printemps,Bivalves,Spisula s.,CAPES,20.04732940217153
Spisula_subtruncata,-18.169684058746274,10.497685189730536,SPISSUB_47_D1458,Embouchure,Automne,Bivalves,Spisula s.,CAPES,18.169684058746274
Spisula_subtruncata,-17.212971082323726,10.829228658140615,SPISSUB_52_D1421,Embouchure,Automne,Bivalves,Spisula s.,CAPES,17.212971082323726
Spisula_subtruncata,-16.73638315997252,11.489029774177588,SPISSUB_52_D1422,Embouchure,Automne,Bivalves,Spisula s.,CAPES,16.73638315997252
Spisula_subtruncata,-17.463199105292457,10.354354299499057,SPISSUB_CAPES1_D1377,Embouchure,Automne,Bivalves,Spisula s.,CAPES,17.463199105292457
Spisula_subtruncata,-18.584143569865102,9.355126838074174,SPISSUB_CAPES2_D1387,Embouchure,Automne,Bivalves,Spisula s.,CAPES,18.584143569865102
Spisula_subtruncata,-18.260785168455456,9.402699614123827,SPISSUB_CAPES2_D1388,Embouchure,Automne,Bivalves,Spisula s.,CAPES,18.260785168455456
Lagis_koreni,-15.7975,8.609000000000002,CP13,Embouchure,Printemps,Polychetes,Lagis k.,CHOPIN,15.7975
Crangon_crangon,-17.6755,11.347000000000003,CP19,Embouchure,Printemps,Crustaces,Crangon c.,CHOPIN,17.6755
Crangon_crangon,-17.7375,11.391000000000002,CP05,Fosse Nord,Printemps,Crustaces,Crangon c.,CHOPIN,17.7375
Scrobicularia_plana,-18.5265,11.060000000000002,CP23,Fosse Nord,Printemps,Bivalves,Scrobicularia p.,CHOPIN,18.5265
Crangon_crangon,-16.7985,13.765000000000002,CP52,Chenal,Automne,Crustaces,Crangon c.,CHOPIN,16.7985
Crangon_crangon,-15.6795,13.923000000000002,T1 EM1/AN2 crevettes,Embouchure,Automne,Crustaces,Crangon c.,CHOPIN,15.6795
Corophium_volutator,-18.2885,10.526000000000003,SA200,Fosse Nord,Automne,Crustaces,Corophium v.,CHOPIN,18.2885
Crangon_crangon,-15.5745,14.027000000000003,T2 FN8 crevettes,Fosse Nord,Automne,Crustaces,Crangon c.,CHOPIN,15.5745
